timestamp[ns],train_time[ns],train_inference_time[ns]
260943876380985,3917,3015
260943876393008,3426,2835
260943876400682,3316,2775
260943876407906,3356,2785
260943876415210,3316,2765
260943876422424,3316,2745
260943876429647,3316,2745
260943876436901,3326,2755
260943876444145,3406,2745
260943876451519,3326,2785
260943876458862,3326,2745
260943876466006,3316,2734
260943876473150,3316,2745
260943876480364,3316,2745
260943876487557,3306,2745
260943876494721,3336,2755
260943876501954,3316,2815
260943876509269,3316,2755
260943876516492,3316,2765
260943876523716,3306,2755
260943876530909,3316,2745
260943876538103,3346,2745
260943876545356,3316,2725
260943876552501,3396,2745
260943876559734,3326,2755
260943876566868,3336,2765
260943876574071,3326,2745
260943876581224,3306,2745
260943876588419,3336,2745
260943876595583,3346,2745
260943876602866,3316,2745
260943876610140,3376,2755
260943876617394,3326,2745
260943876624527,3316,2755
260943876631772,3336,2745
260943876638925,3306,2745
260943876646068,3356,2734
260943876653262,3316,2745
260943876660475,3346,2755
260943876667719,3286,2825
260943876674993,3306,2755
260943876683399,3336,2785
260943876690673,3336,2765
260943876697857,3326,2745
260943876705020,3346,2755
260943876712204,3336,2755
260943876719418,3376,2745
260943876726632,3326,2745
260943876733815,3326,2755
260943876740979,3336,2755
