timestamp[ns],train_time[ns],train_inference_time[ns]
499439686165887,4839.000000,3767.000000
499441686250947,4057.000000,6702.000000
499443686364350,4869.000000,7344.000000
499445686462146,4809.000000,7033.000000
499447686564691,5009.000000,7434.000000
499449686639210,4037.000000,7634.000000
499451686769260,5269.000000,8946.000000
499453686872180,4789.000000,7544.000000
499455686955609,4859.000000,7564.000000
499457687048012,5840.000000,8746.000000
499459687151676,4869.000000,8235.000000
499461687254591,4999.000000,7013.000000
499463687369419,5029.000000,6823.000000
499465687470979,4818.000000,6392.000000
499467687574013,3947.000000,6732.000000
499469687665288,3967.000000,6913.000000
499471687749527,3997.000000,6211.000000
499473687837382,4518.000000,6862.000000
499475687949413,5260.000000,8315.000000
499477688056105,4939.000000,7714.000000
499479688150289,5069.000000,7373.000000
499481688237972,5200.000000,7985.000000
499483688321588,5049.000000,6652.000000
499485688404141,4037.000000,12693.000000
499487688477750,3997.000000,13425.000000
499489688582897,3917.000000,7434.000000
499491688668254,4889.000000,7905.000000
499493688759125,3997.000000,6522.000000
499495688856363,3927.000000,6021.000000
499497688959123,4969.000000,5941.000000
499499689048026,4789.000000,7684.000000
499501689313065,6181.000000,9187.000000
499503689408585,4007.000000,6572.000000
499505689532924,7073.000000,9467.000000
499507689667474,7694.000000,9528.000000
499509689787039,7093.000000,8335.000000
499511689872608,5770.000000,9227.000000
499513689973717,4799.000000,7153.000000
499515690094932,7093.000000,8976.000000
499517690207710,4819.000000,6752.000000
499519690296933,8085.000000,9117.000000
499521690425934,7534.000000,9327.000000
499523690521230,3987.000000,14447.000000
499525690604510,3967.000000,6923.000000
499527690704527,6031.000000,17953.000000
499529690808950,6081.000000,19887.000000
499531690914688,5380.000000,18414.000000
499533691088620,6031.000000,19807.000000
499535691191250,4207.000000,6782.000000
499537691294421,5189.000000,14878.000000
