timestamp[ns],inference_time[ns]
268005485296031,19186
268005485317481,1393
268005485320216,1212
268005485322470,1152
268005485324695,1132
268005485326918,1173
268005485329183,1122
268005485331477,1122
268005485333651,1152
268005485335956,1152
268005485338140,1132
268005485340263,1153
268005485342468,1142
268005485344683,1152
268005485346947,1143
268005485349272,1122
268005485351566,1122
268005485353820,1132
268005485356094,1133
268005485358338,1122
268005485360563,1142
268005485362817,1142
268005485364991,1133
268005485367195,1152
268005485369410,1151
268005485371553,1132
268005485373757,1153
268005485375962,1122
268005485378186,1132
268005485380350,1142
268005485382624,1162
268005485384999,1152
268005485387233,1132
268005485389397,1132
268005485391691,1152
268005485393896,1133
268005485396061,1151
268005485398254,1143
268005485400509,1142
268005485402703,1132
268005485404977,1132
268005485408624,1212
268005485410938,1142
268005485413133,1151
268005485415337,1151
268005485417530,1133
268005485419805,1142
268005485421979,1152
268005485424203,1153
268005485426398,1141
