timestamp[ns],inference_time[ns]
1719850466295765816, 41479
1719850466295804190, 3817
1719850466295816413, 2324
1719850466295825890, 2044
1719850466295834658, 2004
1719850466295844106, 2013
1719850466295852781, 1973
1719850466295862019, 2024
1719850466295871206, 1974
1719850466295880444, 1994
1719850466295889151, 2063
1719850466295898368, 1974
1719850466295908628, 2374
1719850466295918797, 1964
1719850466295927883, 2014
1719850466295936570, 1954
1719850466295946229, 1974
1719850466295954875, 1973
1719850466295964072, 1953
1719850466295972669, 1963
1719850466295982587, 2775
1719850466295990401, 1583
1719850466295997295, 1584
1719850466296004810, 1603
1719850466296012504, 1633
1719850466296020048, 1543
1719850466296026971, 1603
1719850466296033824, 1563
1719850466296042420, 1593
1719850466296050506, 1603
1719850466296057540, 1563
1719850466296064533, 1664
1719850466296071446, 1622
1719850466296078799, 1603
1719850466296086554, 1593
1719850466296093487, 1613
1719850466296100371, 1593
1719850466296107795, 1573
1719850466296115610, 1593
1719850466296122843, 1563
1719850466296130447, 1593
1719850466296137611, 1603
1719850466296144985, 1634
1719850466296152389, 1563
1719850466296159333, 1643
1719850466296166466, 1594
1719850466296174230, 1633
1719850466296181815, 1572
1719850466296188728, 1563
1719850466296195641, 1572
