
#command: pidstat 1 5 <pid> -r

Linux 5.15.0-1059-kvm (lserf-tinyml)    05/27/24        _x86_64_        (8 CPU)

15:54:49      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15:54:50     1000    654592      0.00      0.00    3740    1304   0.02  genann_times
15:54:51     1000    654592      0.00      0.00    3740    1304   0.02  genann_times
15:54:52     1000    654592      0.00      0.00    3740    1304   0.02  genann_times
15:54:53     1000    654592      0.00      0.00    3740    1304   0.02  genann_times
15:54:54     1000    654592      0.00      0.00    3740    1304   0.02  genann_times
Average:     1000    654592      0.00      0.00    3740    1304   0.02  genann_times



Linux 5.15.0-1059-kvm (lserf-tinyml)    05/27/24        _x86_64_        (8 CPU)

15:58:40      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15:58:41     1000    655992      0.00      0.00 3146724  466976   5.73  python
15:58:42     1000    655992      0.00      0.00 3146724  466976   5.73  python
15:58:43     1000    655992      0.00      0.00 3146724  466976   5.73  python
15:58:44     1000    655992      1.00      0.00 3146724  466976   5.73  python
15:58:45     1000    655992      0.00      0.00 3146724  466976   5.73  python
Average:     1000    655992      0.20      0.00 3146724  466976   5.73  python


