timestamp, inference_time [ns]
1719231023956276433, 33713
1719231023956295109, 3216
1719231023956302513, 2234
1719231023956308584, 2014
1719231023956314545, 1994
1719231023956320256, 1993
1719231023956325927, 1975
1719231023956331657, 2004
1719231023956337308, 1994
1719231023956342950, 1985
1719231023956348620, 2044
1719231023956355232, 2023
1719231023956361003, 1964
1719231023956366684, 1974
1719231023956372344, 1994
1719231023956377985, 1954
1719231023956383686, 2013
1719231023956389367, 2014
1719231023956395628, 2004
1719231023956401410, 2004
1719231023956407001, 1964
1719231023956412591, 1973
1719231023956418252, 1963
1719231023956423962, 2044
1719231023956430374, 2645
1719231023956436526, 1953
1719231023956442016, 1834
1719231023956446505, 1573
1719231023956450963, 1572
1719231023956455452, 1583
1719231023956460021, 1613
1719231023956464559, 1614
1719231023956469048, 1583
1719231023956474288, 1573
1719231023956478806, 1553
1719231023956483295, 1542
1719231023956487763, 1583
1719231023956492281, 1592
1719231023956496760, 1554
1719231023956501298, 1613
1719231023956505817, 1583
1719231023956510797, 1643
1719231023956515917, 1633
1719231023956520385, 1553
1719231023956524923, 1644
1719231023956529432, 1593
1719231023956533930, 1594
1719231023956538409, 1582
1719231023956557224, 1813
1719231023956561804, 1593
